condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
inverted_glasses,oval_rectangle_001.png,oval_rectangle_101.png,0,0,0,0,1,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,period,5.8621,0,0,0,16,1,glasses1,7,5,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,x,2.4585,0,1,1,6,1,glasses1,3,5,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,period,2.293,0,2,2,14,1,glasses1,3,1,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,x,2.7009,0,3,3,3,1,glasses1,6,8,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,x,2.3309,0,4,4,5,1,glasses1,1,3,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,x,2.5961,0,5,5,33,1,glasses2,5,3,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,period,2.0167,0,6,6,15,1,glasses1,5,3,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,period,2.2915,0,7,7,13,1,glasses1,10,8,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,x,2.2777,0,8,8,8,1,glasses1,7,9,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,period,2.508,0,9,9,22,1,glasses2,8,10,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,period,1.291,0,10,10,11,1,glasses1,6,4,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,x,2.193,0,11,11,4,1,glasses1,8,10,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,period,2.1326,0,12,12,24,1,glasses2,3,5,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,x,2.2799,0,13,13,1,1,glasses1,2,4,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,x,2.2142,0,14,14,9,1,glasses1,2,0,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,period,1.8912,0,15,15,25,1,glasses2,5,7,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,x,2.1747,0,16,16,2,1,glasses1,4,6,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,period,1.7406,0,17,17,12,1,glasses1,8,6,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,x,1.7797,0,18,18,30,1,glasses2,8,6,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,x,3.1371,0,19,19,21,1,glasses2,6,8,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,x,2.0467,0,20,20,31,1,glasses2,10,8,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,period,1.8177,0,21,21,7,1,glasses1,5,7,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,x,1.8526,0,22,22,32,1,glasses2,3,1,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,x,1.6592,0,23,23,35,1,glasses2,9,7,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,period,1.521,0,24,24,17,1,glasses1,9,7,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,period,1.867,0,25,25,18,1,glasses2,0,2,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,period,3.4947,0,26,26,23,1,glasses2,1,3,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,period,2.3028,0,27,27,10,1,glasses1,4,2,,,,,,,,,,,
,,,,,,,,67,60ff25387b7e06f23418ccf8,2021-07-26_23h18.07.093,glasses,2021.1.4,MacIntel,60.0024001,1,period,1.7613,0,28,28,19,1,glasses2,2,4,,,,,,,,,,,
